"county","n","current_smu","lyg_10","lyg_lower","lyg_upper","label"
1,36,0.832917635868535,0,0,0,"Citrus"
3,17,0.834085726963299,0,0,0,""
5,65,0.779135593366046,0,0,0,""
6,419,0.82265277910393,0,0,0,"Broward"
10,13,0.816420717843965,0,0,0,""
12,13,0.771634403539517,0,0,0,""
16,315,0.771185867888063,0,0,0,""
17,74,0.744955979700624,0,0,0,""
18,14,0.725260111378573,0,0,0,""
20,34,0.689555588136167,0,0,0,""
29,183,0.767967705127337,0,0,0,""
31,15,0.726027789382426,0,0,0,""
35,29,0.776270522607257,0,0,0,""
36,26,0.840083787216151,0,0,0,""
37,60,0.724532241853781,0,0,0,""
41,26,0.719229498323283,0,0,0,""
42,38,0.821594447146653,0,0,0,""
48,165,0.802922151029403,0,0,0,""
49,17,0.718670737241392,0,0,0,""
50,163,0.788181601566459,0,0,0,""
51,12,0.751208276643657,0,0,0,""
52,101,0.780617542208323,0,0,0,""
53,54,0.79265963309617,0,0,0,""
56,35,0.775377237045184,0,0,0,""
58,12,0.748207543140235,0,0,0,""
59,34,0.75867746170396,0,0,0,""
64,52,0.780826367039041,0,0,0,""
